discipline,rank,school_name,school_url,student_faculty_ratio,grad_rate,retention_rate,accept_rate,enroll_rate,aid_rate,default_rate,description,street_address,city,state,zip,website,program_page,logo_url
Nursing,21,Keiser University-Ft Lauderdale,www.keiseruniversity.edu,12 to 1,44%,75%,49%,68%,69%,18%,"Keiser offers programs at a dozen campuses throughout Florida and online. Keiser's online RN to BSN program is accredited by the Commission on Collegiate Nursing Education. The 120-credit program is designed for working professionals and is available in fully online and hybrid formats. Students must earn 60 upper division credits through Keiser, and applicants must have previously completed 60 general education credits. The curriculum emphasizes critical thinking, communication, and leadership and includes courses such as nursing informatics, crisis intervention, and research writing. Students must maintain at least a 2.0 GPA. Keiser offers tuition assistance for veterans and their families, and U.S. military families receive unlimited access to online tutoring services.",1500 NW 49th St.,Fort Lauderdale,Florida,33309,www.keiseruniversity.edu,http://www.keiseruniversity.edu/nursing-bs/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852399/logos/keiser-university-ft-lauderdale.png"
Nursing,22,Sacred Heart University,www.sacredheart.edu,15 to 1,58%,82%,57%,27%,62%,4%,"Founded in 1963 in Fairfield, Connecticut, the Catholic university of SHU offers an online RN to BSN program, which is accredited by the Commission on Collegiate Nursing Education. The 120-credit program may be completed on a part- or full-time basis. Most students complete the degree one and a half to three years. Students must take at least 30 credits through SHU. The holistic curriculum includes coursework in evidence-based practice and global health. Online courses are delivered asynchronously through Blackboard. Applicants must have at least a 2.5 GPA and must submit a résumé, two letters of recommendation, and a personal statement.",5151 Park Ave,Fairfield,Connecticut,06825-1000,www.sacredheart.edu,http://onlineprograms.sacredheart.edu/rn-bsn/rn-to-bsn-online-overview?cmgfrm=https%3A%2F%2Fwww.google.com%2F,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1516128072/logos/130253.png"
Nursing,23,Northwestern College,www.nwciowa.edu/,13 to 1,53%,77%,78%,32%,69%,2%,"Founded in 1851, Northwestern's historic campus is located in Evanston, Illinois. Northwestern's fully online RN to BSN program is accredited by the Commission on Collegiate Nursing Education and is one of the most highly regarded RN to BSN online programs in the country. Students complete the program in one and half to three years and must take at least 30 credits through Northwestern. Courses cover topics such as nursing science, lifespan health assessment, and community health nursing. Northwestern's online courses are delivered asynchronously through Blackboard, and students receive credit for prior experience. Students have access to free online tutoring. Applicants must have at least a 2.7 GPA.",101 Seventh St SW,Orange City,Iowa,51041,www.nwciowa.edu/,http://online.nwciowa.edu/rn2bsn,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475853897/logos/northwestern-college.png"
Nursing,24,Quinnipiac University,www.quinnipiac.edu,13 to 1,71%,85%,66%,11%,61%,2%,"Located in North Haven, Connecticut, Quinnipiac offers one of the most respected accredited online RN to BSN programs in the country. The program is designed for students with busy lifestyles and working professionals on tight deadlines. Students must complete only 32 credits through Quinnipiac. Coursework covers topics such as nursing science and information literacy, contemporary issues and roles in nursing practice, and principles of ethical theory in nursing. The program culminates in three self-directed practice experiences, which students must arrange. Online courses are delivered asynchronously through Blackboard. Discounts are available for active military members and veterans. Applicants must have a 2.7 GPA.",Mt Carmel Ave,Hamden,Connecticut,6518,www.quinnipiac.edu,https://quonline.quinnipiac.edu/online-programs/online-undergraduate-programs/bs-in-nursing/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475853985/logos/quinnipiac-university.png"
Nursing,25,Misericordia University,www.misericordia.edu,13 to 1,54%,80%,71%,31%,72%,6%,"Founded in 1924 in Dallas, Pennsylvania, Misericordia offers an array of online programs, including an online RN to BSN program . The competitive program is available in part-time and accelerated formats and is accredited by the Commission on Collegiate Nursing Education. The 126-credit program is ideal for working professionals on a budget. The curriculum includes courses in health assessment; care of aggregates, communities, and populations; and professional nursing concepts. The program emphasizes a holistic approach to the theory and practice of nursing. Students can pursue a concentration in nursing leadership. Applicants must have a cumulative GPA of at least 2.75.",301 Lake St,Dallas,Pennsylvania,18612-1098,www.misericordia.edu,http://catalog.misericordia.edu/preview_program.php?catoid=3&poid=310&returnto=81,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852654/logos/misericordia-university.png"
Paralegal,1,Keiser University-Ft Lauderdale,http://www.keiseruniversity.edu,12 to 1,44%,75%,48%,68%,69%,17.8%,"Keiser University, located in Ft. Lauderdale, Florida, offers an online paralegal associate degree that teaches students about legal practices in the United States. To earn an associate of arts in paralegal studies, students complete a 60-credit curriculum. The program helps develop writing and speaking, analytical, and technical skills. Coursework covers a variety of topics including legal research and writing, real property, family law, civil litigation, criminal law, torts law, contracts, and wills, trusts, and estates. Coursework is divided into two sections: 36 credit hours of general education courses and 24 credit hours of paralegal courses. The program prepares students to work in law firms, businesses, corporations, civil and criminal practices, and for lawyers as a paralegal. Prospective students can opt to meet with an admissions advisor in person and make a campus visit.",1500 NW 49th St.,Fort Lauderdale,FL,33309,http://www.keiseruniversity.edu,http://www.keiseruniversity.edu/paralegal-studies-aa/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852399/logos/keiser-university-ft-lauderdale.png"
Paralegal,2,Liberty University,http://www.liberty.edu,18 to 1,24%,69%,22%,46%,66%,7.5%,"Liberty University in Lynchburg, Virginia offers an associate degree in paralegal studies that can be completed entirely online. The program teaches students the foundations of law and is comprised of 60 credits. Students take coursework related to communication; math, science, and technology; information literacy; critical thinking; Christian life and thought; and paralegal studies. Distance learners can take up to three credits of electives in addition to their required coursework. Paralegal courses cover topics that include legal research, legal writing, criminal practice and procedures, civil practice, and foundations of law. Graduates of this program can go on to work as paralegals, legal assistants, legal secretaries, and government workers. In order to gain admittance, applicants must have a minimum 2.0 GPA and submit their high school diploma or GED certificate. Students in the program are able to transfer 45 credits from another institution, but at least 15 credits must be completed at Liberty University to graduate with an associate degree in paralegal studies.",1971 University Blvd,Lynchburg,VA,24515,http://www.liberty.edu,http://www.liberty.edu/online/associate/paralegal-studies/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852410/logos/liberty-university.png"
Paralegal,3,Drury University,http://www.drury.edu,19 to 1,31%,85%,74%,50%,58%,16%,"Drury University in Springfield, Missouri has a paralegal associate degree program that is fully online and teaches students the fundamentals of American law. The program is comprised of 21 credits of paralegal courses and 41 credits of general education courses. Classes cover many topics, including legal writing, investigating and interviewing, constitutional law, litigation, and the American court systems. The program has an internship requirement that gives students experience and exposure before they begin their career. For example, students can participate in a legal practicum where they work with a practicing attorney to learn how to apply legal concepts in a real-world law practice. Graduates of this program are qualified to work as paralegals in a wide range of legal practices and companies. To be admitted to online programs at Drury University, applicants must provide their high school transcripts or GED certificate.",900 N.Benton,Springfield,MO,65802-3791,http://www.drury.edu,http://www.drury.edu/ccps/associate-of-science-in-paralegal-studies-program,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851718/logos/drury-university.png"
Paralegal,4,Eastern Kentucky University,http://www.eku.edu,15 to 1,13%,72%,73%,36%,58%,13.1%,"Eastern Kentucky University in the city of Richmond has a program that offers an online associate degree in paralegal studies . This program teaches students how to understand law and legal practices in the United States. Coursework is completed entirely online, with the exception of 10 credit hours of an in-depth on-campus residency. Coursework covers a wide range of topics, including probate practice, computer applications, criminal law, legal administration, legal research and writing, and litigation. The 64-credit curriculum is made up of 25 hours of general education requirements, 37 hours of core courses, and two hours of elective courses. The residency requirement connects students with practicing attorneys, judges, and paralegals. Students in the residency program also have access to the law library and courthouse vault. To gain admittance to Eastern Kentucky University, applicants must provide their high school transcripts (with a minimum 2.5 GPA) and ACT (with a minimum score of 20) or SAT (a minimum combined math and verbal score of 950) scores. Graduates can pursue employment at insurance companies, law offices and firms, nonprofit organizations, banks, and state and local government agencies.",521 Lancaster Ave,Richmond,KY,40475-3102,http://www.eku.edu,http://paralegalonline.eku.edu/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1515108030/logos/156620.jpg"
Paralegal,5,Hodges University,http://www.hodges.edu,15 to 1,14%,60%,74%,90%,76%,13.7%,"Hodges University in Naples, Florida offers an associate degree in paralegal studies online that prepares students to work for a variety of law firms. Students in this program learn to conduct legal research, collect evidence, and prepare litigation. The curriculum covers a variety of courses, including civil procedure, legal ethics, legal research and writing, contracts, and criminal law and procedure. Students can enroll and begin taking classes before any semester. Full-time students typically take three courses per term and complete the degree program in about two years. Graduates go on to gain employment at insurance companies; state, local, and federal government agencies; financial institutions; and private law offices. Students also learn about the different specialties available to paralegals, including real estate, immigration, family law, bankruptcy, and intellectual property. To gain admittance to Hodges University, potential students must complete an interview and take a placement test.",2655 Northbrooke Drive,Naples,FL,34119-7932,http://www.hodges.edu,http://www.hodges.edu/academics/academicPrograms/associate-paralegal-studies.aspx,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852285/logos/hodges-university.png"
Paralegal,6,Alexandria Technical & Community College,http://www.alextech.edu,23 to 1,55%,72%,100%,N/A,41%,11.5%,"Alexandria Technical & Community College in Alexandria, Minnesota offers a paralegal online associate degree that prepares students to perform legal work under an attorney’s direct supervision. This program provides students with extensive training in preparing and handling legal documents and legal correspondence, legal ethics, and trial preparation. Coursework covers a variety of topics, including criminal procedures, family law, estates and probate, and bankruptcy. Students in the program learn about relevant computer applications, such as how to use databases, word processing software, spreadsheets, and presentation software. Advanced paralegal courses are available to students with an overall GPA of 2.5 or higher. Graduates can pursue work as paralegals, legal assistants, bankruptcy analysts, title company closers, credit investigators, property specialists, or senior court clerks. The college also offers job searching resources to distance learners. Transfer students are widely accepted at Alexandria Technical & Community College; Minnesota Transfer Curriculum classes transfer over immediately, while other classes are evaluated on an individual basis.",1601 Jefferson Streeet,Alexandria,MN,56308,http://www.alextech.edu,https://www.alextech.edu/programs/paralegal/curriculum,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851644/logos/alexandria-technical-community-college.png"
Paralegal,7,Calumet College of Saint Joseph,http://www.ccsj.edu,11 to 1,23%,58%,34%,70%,57%,16.3%,"Calumet College of Saint Joseph in Whiting, Indiana offers an online criminal justice associate program for students interested in pursuing work as a paralegal. The program has concentrations in probation, parole, and courts; forensic science; and pre-law or professional studies. Students interested in a paralegal career should enroll in the pre-law or professional studies concentration. Curriculum covers a variety of topics, such as deviant behavior, interviewing techniques, criminal law, criminal procedure, and criminology. To graduate from this program, students must complete an internship and a senior seminar in criminal justice. The internship lets students see first-hand what it is like to work in local, state, and federal law enforcement and criminal justice agencies. The senior seminar is a capstone course where students create a presentation, highlighting what they learned during the program. To be admitted, potential students must provide their high school transcripts and ACT or SAT scores.",2400 New York Ave,Whiting,IN,46394,http://www.ccsj.edu,https://www.ccsj.edu/CriminalJustice/#undefined7,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851678/logos/calumet-college-of-saint-joseph.png"
Paralegal,8,Hutchinson Community College,http://www.hutchcc.edu,15 to 1,29%,60%,100%,N/A,22%,7%,"Students enrolled at Hutchinson Community College in Hutchinson, Kansas can pursue a paralegal associate degree online. This 64-credit program includes general education requirements that cover fundamental topics such as word processing, business mathematics, technical writing, microcomputer applications, and small business accounting. The curriculum also teaches paralegal-specific topics, such as litigation, family law, personal injury and civil wrongs, human relations, law and the legal assistant, and legal research and writing. Graduates can find employment in private law firms, public institutions, the government, and corporations. The program ensures students can perform legal research, review and produce legal documents, and meet with company executives. There are also some scholarship opportunities for paralegal students at Hutchinson Community College; an advisor can help individuals identify and apply for these awards.",1300 N Plum St,Hutchinson,KS,67501,http://www.hutchcc.edu,http://www.hutchcc.edu/catalog/major/?major=1499,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852289/logos/hutchinson-community-college.png"
Paralegal,9,Southern Utah University,http://www.suu.edu/,18 to 1,20%,66%,61%,23%,34%,6.3%,"Southern Utah University in Cedar City, Utah has an online paralegal associate degree program for students that prepares them for careers in the legal system. The program teaches distance learners how to conduct client interviews; locate and interview witnesses; conduct and complete legal research; create legal documents, pleadings, and correspondence; and summarize testimonies and depositions. The curriculum covers a range of topics, including criminal law and procedure, torts law, real estate and property law, and case preparation. To graduate from this program, students must also complete a paralegal internship. During this internship, students learn directly from professional paralegals and licensed attorneys in a multitude of settings, including government agencies, law firms, and/or corporations. This internship experience boosts a student’s academic and professional resume, helping to set them apart from their peers.",351 West University Blvd,Cedar City,UT,84720,http://www.suu.edu/,https://www.suu.edu/graduatestudies/undergraduatestudies/associate-paralegal.html,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854163/logos/southern-utah-university.png"
Paralegal,10,Madisonville Community College,http://www.madisonville.kctcs.edu/,14 to 1,30%,70%,100%,N/A,21%,18%,"Madisonville Community College in Kentucky offers students an associate degree in paralegal studies , preparing individuals for entry-level paralegal careers at corporations, law firms, courts, and government agencies. The curriculum is comprised of 66 credits, including 21 credits of general education requirements, nine credits of technical support courses, and 36 credits of paralegal courses. The program is typically completed in two years by full-time students. Graduates can find employment as paralegals in a variety of settings. Additionally, students interested in continuing their education beyond an associate degree can transfer their degree and completed credits to a number of universities. The career services center at the college is available to distance learners and offers job placement assistance. The paralegal studies program is fully online and completed through the Blackboard learning management system. To successfully graduate, students must have a minimum GPA of 2.0.",2000 College Drive,Madisonville,KY,42431,http://www.madisonville.kctcs.edu/,https://madisonville.kctcs.edu/academics/programs_of_study/paralegal_technology.aspx,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852639/logos/madisonville-community-college.png"
Paralegal,11,Southwestern Community College,http://www.southwesterncc.edu,15 to 1,32%,65%,100%,N/A,12%,14.9%,"Southwestern Community College in Sylva, North Carolina has an associate degree in paralegal studies online program that prepares students to perform legal tasks and assist with legal work. Students learn the fundamentals of law to understand the United States legal system. The 71-credit curriculum covers a variety of topics, including legal research and writing, case analysis and reasoning, professional research and reporting, criminal law and procedure, and administrative law. The program is completed mostly online, with the exception of a work-based learning requirement that provides students with exposure to work in the field at a college-approved location. Graduates typically seek employment as paralegals and legal assistants where they help attorneys with investigations, public record searches, creating and filing legal documents, probate work, and office management. Graduates are also eligible to take the paralegal certification exam.",447 College Dr,Sylva,NC,28779,http://www.southwesterncc.edu,http://www.southwesterncc.edu/program/paralegal-technology-aas,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854165/logos/southwestern-community-college.png"
Paralegal,12,Atlanta Technical College,http://www.atlantatech.edu/,16 to 1,24%,56%,100%,N/A,60%,N/A,"Atlanta Technical College offers an online associate degree in paralegal studies that prepares students for successful paralegal careers in a variety of settings. Students learn to conduct legal research, deliver legal arguments, produce legal documents, and use appropriate and proper legal terminology during written and verbal communication. The 69-credit hour curriculum covers a wide range of topics, including computer literacy, law office management, law and ethics, legal and policy issues in health care, and constitutional law. The program also requires students to complete an internship as part of their graduation requirements. The purpose of the internship is to provide students with hands-on experience, enabling them to apply the information they learned in their courses and see how these skills translate into the field. The program length is six semesters, which is typically completed within two years by full-time students. To graduate, students must maintain a minimum 2.0 GPA.",1560 Metropolitan Pkwy SW,Atlanta,GA,30310-4446,http://www.atlantatech.edu/,http://www.atlantatech.edu/academics/programs/paralegal-studies/paralegal-studies-associate-degree-program/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851652/logos/atlanta-technical-college.png"
Paralegal,13,Community Care College,http://www.communitycarecollege.edu,30 to 1,65%,71%,100%,N/A,73%,17.6%,"Community Care College in Tulsa, Oklahoma offers students a paralegal associate degree that is 100% online. Students can access their instructors by phone, text, email, chat, Skype, and in-person. The curriculum for this program is created and taught by a licensed attorney who graduated from Harvard Law School. Coursework encompasses a variety of topics, including real estate law, family law, paralegal ethics, American government, and legal writing and research. The program is accelerated and can be completed in less than a year. Students learn to research laws, regulations, and legal articles; organize legal documents; use electronic filing systems; prepare cases and evidence for attorneys to review; help lawyers prepare for trials by writing summaries and reports; collect affidavits and statements to be used in court; and conduct client interviews. Graduates can pursue employment as paralegals and legal assistants who help and support lawyers.",4242 South Sheridan,Tulsa,OK,74145,http://www.communitycarecollege.edu,http://www.communitycarecollege.edu/programs/paralegal-studies/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1515108228/logos/439570.png"
Paralegal,14,Kansas City Kansas Community College,http://www.kckcc.edu,13 to 1,20%,57%,100%,N/A,27%,13.5%,"Kansas City Kansas Community College offers students a paralegal online associate degree that teaches learners how to perform detailed legal work under the supervision of a licensed attorney. This program can be completed entirely online, except for an internship requirement; however, the college also offers on-campus and hybrid options to students. Distance learners must complete 69 credits to graduate from the program, including 25 general education credits and 44 technical credits. The curriculum covers a range of topics, including criminal law for the paralegal, litigation, legal interviewing and investigation, and microcomputer business software. The internship required for graduation provides students with exposure to their field and gives them hands-on experience. Students interested in getting more experience in the form of administrative work also have access to career training at the school’s technical education center.",7250 State Ave,Kansas City,KS,66112,http://www.kckcc.edu,http://www.kckcc.edu/programs/degrees-certificates/associate-in-applied-science/paralegal,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852398/logos/kansas-city-kansas-community-college.png"
Paralegal,15,University of Northwestern Ohio,http://www.unoh.edu,26 to 1,26%,62%,100%,35%,76%,16.4%,"The University of Northwestern Ohio in the city of Lima offers a legal assistant associate degree online to students interested in learning about American law and procedures. The university boasts an impressive employment rate for its students, with 96% of legal assistant graduates going on to find employment or continue their education. The curriculum covers a variety of legal topics including juvenile law, real estate law, criminal law, legal ethics, and legal research and writing. In addition to coursework, students attend criminal court and participate in hearings. Students can also access the law library to better understand legal research and procedures. The legal assistant program at the University of Northwestern Ohio is part of the university's occupational professions division and places a strong focus on the employment students gain after graduation. Graduates can begin careers as legal assistants, paralegals, and legal secretaries in local, state, and federal government agencies; corporations; private law firms; and insurance companies.",1441 N Cable Rd,Lima,OH,45805,http://www.unoh.edu,http://www.unoh.edu/academics/online-degrees/legal-online.shtml,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854231/logos/university-of-northwestern-ohio.png"
Paralegal,16,Mountain Empire Community College,http://www.mecc.edu,24 to 1,29%,62%,100%,N/A,N/A,N/A,"Mountain Empire Community College in Big Stone Gap, Virginia offers a paralegal associate degree online to distance learners interested in finding work as paralegals or legal assistants. The courses in this program prepare students to produce and organize legal documents, conduct legal research and writing, collect and organize evidence, prepare summaries and reports for attorneys before court, and take notes during court hearings. The curriculum covers a range of topics, including legal terminology, ethics for the paralegal, U.S. government, and customer service. The courses in this program also offer certification options for students. Individuals who complete the word processing course are eligible to take the Microsoft Office Specialist Word Core Exam. Additionally, students who complete all of the coursework in this program can earn a legal office assisting certificate, and students enrolled in the legal internship course are eligible for career readiness certifications.",3441 Mountain Empire Road,Big Stone Gap,VA,24219,http://www.mecc.edu,http://www.mecc.edu/programs/paralegal-studies/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852661/logos/mountain-empire-community-college.png"
Paralegal,17,Lake Superior College,http://www.lsc.edu,22 to 1,29%,57%,100%,N/A,44%,14.7%,"Lake Superior College in Duluth, Minnesota has an online paralegal associate degree . Graduates of this program are prepared to work as paralegals or legal assistants, preparing documents, collecting evidence, and conducting legal research for licensed attorneys. Students learn about proper legal terminology, the American legal system, methods for conducting interviews and investigations with clients and witnesses, state and federal court procedures and rules, and ethical obligations for attorneys and paralegals. The program is comprised of 60 credits, which cover a variety of topics including business communications, civil litigation, legal document processing, and computers in the law office. The program also has a paralegal capstone component, which requires students to put together a presentation to demonstrate their learned skills. This program is typically completed in two years. Graduates are prepared for careers as judicial assistants, probate paralegals, legal assistants, and real estate paralegals.",2101 Trinity Rd,Duluth,MN,55811-3399,http://www.lsc.edu,https://degrees.lsc.edu/paralegal/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852406/logos/lake-superior-college.png"
Paralegal,18,Minnesota State Community and Technical College,http://www.minnesota.edu,21 to 1,32%,57%,100%,N/A,51%,16.7%,"Minnesota State Community and Technical College, located in the city of Fergus Falls, has a paralegal associate degree program for students interested in learning the fundamentals of American law. The program is offered online and trains students about different facets of law and legal research and writing. The 60-credit curriculum covers an array of topics, including family law, legal research and writing, civil law for paralegals, criminal law for paralegals, legal ethics for the paralegal, and wills, trusts, and probate. The program focuses on communication and critical thinking skills, teaching students to apply their coursework to real-world situations. Graduates are prepared to find work in nonprofit organizations, legal firms, corporate offices, and government organizations. Minnesota State Community and Technical College also has an articulation agreement with Minnesota State University Moorhead, allowing students to easily transfer into Moorhead’s four-year paralegal degree program.",1414 College Way,Fergus Falls,MN,56537-1000,http://www.minnesota.edu,https://www.minnesota.edu/programs/paralegal/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852653/logos/minnesota-state-community-and-technical-college.png"
Paralegal,19,Massachusetts Bay Community College,http://www.massbay.edu,18 to 1,14%,62%,100%,N/A,19%,12.2%,"Massachusetts Bay Community College in the city of Wellesley Hills offers an online associate degree in paralegal studies. The curriculum is comprised of 63 credits with business, liberal arts, and legal course requirements. Students also engage in hands-on experience at a law firm. Courses cover a variety of topics, including microcomputer applications, critical thinking, principles of business law, litigation for paralegals, legal research and writing, financial accounting, and statistics. The coursework includes a number of elective options, allowing students to tailor their degree program to better fit their interests. Students also gain hands-on training with the online research methods used by attorneys in law offices around the country. The required law firm experience shows students what types of legal issues they will encounter after graduation and what is expected of paralegals",50 Oakland St,Wellesley Hills,MA,02481-5399,http://www.massbay.edu,https://s3.amazonaws.com/massbayedunew/curriculum/Business-Professional-Studies/degree/Curriculum-Sheet-SSPS-Paralegal-Studies-AS.pdf,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852643/logos/massachusetts-bay-community-college.png"
Paralegal,20,Laramie County Community College,http://www.lccc.wy.edu,15 to 1,14%,57%,100%,N/A,41%,16.2%,"Students attending Laramie County Community College in Cheyenne, Wyoming can pursue an associate degree in paralegal studies online. This program teaches distance learners how to perform legal research and writing, interview clients and witnesses, and utilize the computer for research. Students develop their technical, analytical, communication, and critical thinking skills as they complete coursework. The 64-credit curriculum encompasses a number of topics, including law office management, business law, family law, real estate and property law, computer applications in the law, and probate practices and procedures. The paralegal program also requires students to complete a paralegal internship. This internship provides students with real-world experience in their chosen field, allowing them to see first-hand how the skills they learn at school are used by paralegals.",1400 E College Dr,Cheyenne,WY,82007-3299,http://www.lccc.wy.edu,http://lccc.wy.edu/programs/paralegal/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852408/logos/laramie-county-community-college.jpg"
Paralegal,21,Prince George's Community College,http://www.pgcc.edu,15 to 1,6%,60%,100%,N/A,21%,14.7%,"Prince George's Community College in Largo, Maryland offers a paralegal online associate degree to students interested in pursuing work as a paralegal or legal assistant. This is a career degree that allows distance learners to enter the workforce directly after graduation. Students learn to conduct legal research, interview clients and witnesses, work on alternative dispute resolution, and draft interrogatories, pleadings, and motions. The curriculum covers a variety of topics, including contracts, civil litigation, techniques of legal research, criminal and family law, criminal evidence and procedure, and state and local government. Graduates can find work at corporations, government agencies, and private law firms. They can also do freelance work or work with an in-house attorney who needs assistance. Students interested in continuing their education can transfer credits earned at Prince George's Community College to a number of four-year universities.",301 Largo Rd,Largo,MD,20774-2199,http://www.pgcc.edu,https://www.pgcc.edu/programs_and_courses/program_detail.aspx?programID=6442462437,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475853919/logos/prince-georges-community-college.jpg"
Paralegal,22,Mississippi Gulf Coast Community College,https://www.mgccc.edu,22 to 1,25%,63%,100%,N/A,25%,20.2%,"Mississippi Gulf Coast Community College, in the community of Perkinston, offers a paralegal associate degree online to students interested in learning about legal research and writing, legal terminology, and American law. Graduates are prepared for employment as a paralegal or legal assistant. The 61-credit curriculum is comprised of a number of topics, including legal research, torts law, civil litigation, contracts and business law, criminal law and procedure, and public speaking. Students in this program can also pursue a concentration in gaming, which covers the gaming and hospitality industries. Graduates are prepared to work at courts, corporations, private law firms, government agencies, and trust departments at banks. The program typically takes full-time students two years to complete. Some learners opt to transfer to a four-year university upon completion of this associate degree program; an academic advisor is available to help individuals determine which credits are eligible for transfer.",51 Main Street,Perkinston,MS,39573,https://www.mgccc.edu,http://catalog.mgccc.edu/preview_program.php?catoid=13&poid=1299,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852655/logos/mississippi-gulf-coast-community-college.png"
Paralegal,23,Holmes Community College,http://www.holmescc.edu,18 to 1,25%,58%,100%,N/A,21%,21.6%,"Holmes Community College in Goodman, Mississippi offers an associate degree in paralegal studies for individuals interested in working with licensed attorneys as a paralegal or legal assistant. The 61-credit curriculum is comprised of general education requirements and paralegal courses. Students learn the skills and knowledge needed to succeed, including how to interview clients and witnesses, create legal documents, and organize evidence. Course material covers a range of topics, including family law, contracts, law office management, wills and estates, legal writing, and bankruptcy. All of the courses provide abbreviated lectures in the form of podcasts. Upon completion of the program, students earn a technical certificate and can pursue work as paralegals. Graduates of the program can gain employment at nonprofit organizations, private law offices, public institutions, corporations, insurance agencies, financial institutions, or government agencies.",#1 Hill St,Goodman,MS,39079,http://www.holmescc.edu,http://www.holmescc.edu/departments/technical/paralegal_technology/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852285/logos/holmes-community-college.png"
Paralegal,24,Tallahassee Community College,https://www.tcc.fl.edu,24 to 1,33%,60%,100%,N/A,40%,24.6%,"Tallahassee Community College in Florida offers an online paralegal associate degree to students who want to pursue work as a paralegal or legal assistant. This program prepares students to either directly enter the workforce or continue their education and transfer to a bachelor's track in paralegal studies. The 64-credit curriculum at TCC covers a variety of topics, including legal concepts of business, legal research, litigation procedures, law office procedures and management, microcomputer applications for business, and applied ethics. The program also requires students to complete a technology and professional programs internship, which provides students with hands-on learning in the field. In addition to gaining valuable insight and skills, this internship experience boosts a student’s professional resume and sets them apart from their peers after they enter the workforce.",444 Appleyard Dr,Tallahassee,FL,32304-2895,https://www.tcc.fl.edu,http://catalog.tcc.fl.edu/preview_program.php?catoid=13&poid=1507&returnto=1709,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854199/logos/tallahassee-community-college.png"
Paralegal,25,Georgia Military College,http://www.gmc.edu/,25 to 1,27%,54%,100%,N/A,75%,19.8%,"Georgia Military College in the city of Milledgeville offers an online associate degree in paralegal studies to students interested in learning about American law, legal research and writing, and legal terminology. Courses help students develop their research, communication, computer, critical thinking, and organizational skills. The curriculum includes a variety of topics, such as law and ethics, family law, legal research and writing, torts and remedies, and alternative dispute resolution. Students in this program learn to understand, prepare, and organize legal documents; develop plans for legal research; evaluate case law, statutory law, and constitutional law; and articulate philosophical principles involving jurisprudence. The program typically takes full-time students two years to complete. Graduates can gain employment as paralegals, legal assistants, or legal secretaries for nonprofit organizations, corporations, private law firms, and government agencies.",201 E Greene St,Milledgeville,GA,31061,http://www.gmc.edu/,https://www.gmc.edu/academic-programs/paralegal-studies.cms,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852273/logos/georgia-military-college.png"
